Model	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
XT_csp_emvar-GPDCphs	0.511384297521	0.834993942536	0.659287190083	0.678410998804	0.792280991736	0.873443141825	0.482417355372	0.736216166621
XT_ica_ampcorrcoef-low_gamma-eig	0.482026859504	0.530310146484	0.593326446281	0.618360976975	0.777807162534	0.696525492481	0.542561983471	0.659239609138
XT_csp_PSDlogfcorrcoef	0.607324380165	0.791337259822	0.695811983471	0.618082207759	0.854066115702	0.853979558024	0.522768595041	0.760452335077
RF_ica_pib_ratioBB	0.640419421488	0.871763847068	0.787272727273	0.714129450226	0.76461707989	0.866681521093	0.443285123967	0.769614490626
XT_csp_mvar-DC	0.55325	0.831872987912	0.712280991736	0.638307922511	0.823330578512	0.806493955391	0.595785123967	0.764525032878
XT_csp_emvar-DC	0.559006198347	0.843113783881	0.71117768595	0.619274366896	0.808049586777	0.843867121441	0.372665289256	0.735586980457
XT_csp_mvar-DCphs	0.555229338843	0.811324129236	0.70226446281	0.705283151542	0.816986225895	0.861972382193	0.45673553719	0.753848518213
AB_ica_var	0.76341322314	0.669008268049	0.64055785124	0.495334673025	0.806958677686	0.617090017825	0.506818181818	0.599254442304
AB_csp_phase-beta-sync	0.620157024793	0.928682362101	0.582611570248	0.678451489491	0.945454545455	0.899934012066	0.553285123967	0.730470685384
XT_ica_ampcorrcoef-low_gamma	0.535012396694	0.656881014569	0.617276859504	0.670799282832	0.766754820937	0.784752216738	0.435847107438	0.692186592042
RF_ica_emvar-ePDC	0.498136363636	0.752243051321	0.643512396694	0.687070473791	0.804710743802	0.875812708533	0.320020661157	0.714059699667
RF_csp_pwling2	0.632136363636	0.79957303903	0.633838842975	0.542628762051	0.673859504132	0.539599901732	0.3925	0.69219484968
AB_csp_ampcorrcoef-low_gamma-eig	0.472380165289	0.645571982154	0.630243801653	0.575887979098	0.629746556474	0.680422722702	0.490537190083	0.529370660917
RF_ica_emvar-eARF	0.524119834711	0.762836488513	0.583904958678	0.664683956023	0.825253443526	0.883878376525	0.315495867769	0.716397681745
RF_csp_emvar-eDDCphs	0.488132231405	0.636365090825	0.520783057851	0.621661484525	0.72852892562	0.804678573061	0.522851239669	0.679150304309
AB_ica_phase-theta-dif	0.558376033058	0.889986799403	0.694789256198	0.678485614975	0.860396694215	0.698886489328	0.438450413223	0.608223766706
SVC_ica_emvar-ePCOH	0.602225206612	0.990445270425	0.874340909091	0.746828562764	0.94667768595	0.818714577906	0.646404958678	0.859626112487
SVC_csp_mvar-PCOH	0.628611570248	0.99280529499	0.87069214876	0.766626742516	0.966983471074	0.85917575072	0.713305785124	0.871632947977
SVC_csp_mvar-DC	0.555090909091	0.956624102375	0.835150826446	0.761369751624	0.969154269972	0.854429475753	0.583099173554	0.846398216962
RF_csp_psd_logf	0.621648760331	0.778319012883	0.752615702479	0.637101799919	0.801443526171	0.713211012843	0.675433884298	0.740096339114
AB_ica_ilingam-causalorder	0.602630165289	0.617084769388	0.564960743802	0.516609679774	0.523344352617	0.563526955071	0.372727272727	0.515115759856
SVC_ica_mvar-COHphs	0.553239669421	0.963613851525	0.834252066116	0.760823543918	0.943961432507	0.739781868458	0.591714876033	0.83836957519
SVC_ica_ampcorrcoef-beta	0.64952892562	0.792257613689	0.71376446281	0.762655922471	0.928022038567	0.797108528726	0.592190082645	0.77849833318
SVC_ica_mvar-DTFphs	0.576710743802	0.984637234539	0.832847107438	0.819042186964	0.952892561983	0.858601569999	0.615289256198	0.859451631648
SVC_csp_mvar-Pphs	0.539231404959	0.971557678336	0.854380165289	0.779271134306	0.923763085399	0.732204682572	0.611363636364	0.853500703428
RF_ica_emvar-eGphs	0.521198347107	0.819442984504	0.610909090909	0.695891344991	0.835077134986	0.945887037799	0.395268595041	0.741330091446
SVC_ica_emvar-eSphs	0.557719008264	0.964066411023	0.835169421488	0.758746721587	0.945181818182	0.751742538507	0.594173553719	0.837045524054
XT_csp_emvar-GPDC	0.557520661157	0.839254381727	0.695080578512	0.670792384418	0.829898071625	0.850348793363	0.578987603306	0.777770972872
AB_csp_pib_ratioBB	0.678258264463	0.871333720795	0.785975206612	0.716471978112	0.723920110193	0.759044060515	0.551570247934	0.664974615408
RF_csp_ampcorrcoef-alpha	0.620070247934	0.677572484461	0.534780991736	0.640802315467	0.598994490358	0.729322352484	0.476776859504	0.660270667034
SVC_ica_emvar-PDC	0.568022727273	0.971335121023	0.882078512397	0.767465282985	0.975052341598	0.854229512318	0.577272727273	0.859096323822
